"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.07705979244391e-55,2.54745221086876,0.611,0.158,3.80205795006857e-51,"5","ENSMMUG00000020157"
2.93785151146221e-55,3.43675501164605,0.273,0.02,5.37773719173157e-51,"5","CLEC4E"
5.33146851973672e-53,3.46041875449124,0.426,0.073,9.75925312537807e-49,"5","NFIL3"
3.21814042677011e-50,2.19391298821958,0.727,0.263,5.89080605120268e-46,"5","TBC1D24"
9.76825654321071e-50,3.03973486675922,0.384,0.054,1.78807936023472e-45,"5","TREM1"
1.24460988659078e-49,2.7194470704068,0.577,0.11,2.27825839740441e-45,"5","MARCKS"
2.33203568322025e-48,2.28984542520913,0.682,0.223,4.26879131813467e-44,"5","IFIH1"
4.65859158620336e-48,2.56752978724179,0.702,0.15,8.52755189854526e-44,"5","ACSL1"
7.02606757867668e-48,2.13566545017586,0.705,0.231,1.28612167027677e-43,"5","EPSTI1"
8.53491499181284e-48,3.23887336386036,0.307,0.041,1.56231618925134e-43,"5","MEFV"
1.83195076292144e-47,3.03431640002835,0.307,0.046,3.35338587152769e-43,"5","TMEM140"
3.77820477959738e-46,2.93488110787883,0.347,0.056,6.916003849053e-42,"5","CGAS"
5.74591346810633e-46,2.08558605091229,0.679,0.244,1.05178946033686e-41,"5","PARP14"
6.9206631774267e-46,2.63676525386044,0.591,0.138,1.26682739462796e-41,"5","ENSMMUG00000041662"
5.66246705870116e-45,2.88218363019202,0.318,0.054,1.03651459509525e-40,"5","ENSMMUG00000047800"
2.30086159970048e-44,2.79360858567763,0.503,0.093,4.21172715825173e-40,"5","TNFSF13B"
4.76434015766604e-43,2.2886187315745,0.804,0.177,8.72112465860768e-39,"5","CSF3R"
4.78937623219154e-43,2.23621437027806,0.648,0.204,8.76695319302662e-39,"5","PIK3AP1"
7.85263270871227e-42,2.83046822378655,0.426,0.073,1.43742441732978e-37,"5","CMPK2"
1.2589430069636e-41,2.64008023025797,0.295,0.049,2.30449517424687e-37,"5","LTB4R"
4.01460211347976e-41,2.42173737313826,0.642,0.146,7.34872916872471e-37,"5","LIMK2"
5.00787346557297e-41,3.33384390250309,0.557,0.079,9.16691237873132e-37,"5","APOBEC3A"
3.28829565808398e-40,2.71942477315788,0.295,0.05,6.01922520212272e-36,"5","GK"
1.83190594965425e-39,2.00943393737392,0.565,0.204,3.3533038408421e-35,"5","VASP"
7.12141437328234e-39,2.6029987730674,0.58,0.132,1.30357490102933e-34,"5","FAM129A"
4.33759220558493e-38,2.39117222925962,0.565,0.146,7.93996253232321e-34,"5","NCF2"
6.44907841741466e-38,2.4605333741415,0.406,0.097,1.18050380430775e-33,"5","ENSMMUG00000010226"
4.14324919803705e-36,3.52743152180494,0.261,0.025,7.58421765700683e-32,"5","JUP"
5.27935885907954e-36,3.12357803327975,0.523,0.104,9.6638663915451e-32,"5","TRIB1"
7.05901916973081e-36,2.13796022858877,0.642,0.215,1.29215345901922e-31,"5","SLC16A3"
1.17057014346167e-35,3.44057902661229,0.284,0.031,2.14272864760658e-31,"5","PGLYRP1"
2.11302075051082e-34,2.81887429006486,0.267,0.043,3.86788448381006e-30,"5","PLSCR1"
3.19155731811341e-34,2.47651091665692,0.307,0.067,5.8421456708066e-30,"5","TNFRSF1A"
3.22015914062276e-33,2.22351694507653,0.827,0.268,5.89450130690996e-29,"5","OAS2"
3.89174162748076e-33,2.05171225809163,0.776,0.271,7.12383304910354e-29,"5","LYN"
1.48183317868051e-32,2.76644078061592,0.375,0.066,2.71249563357468e-28,"5","C1orf162"
1.87316681964366e-32,2.55131541289175,0.392,0.088,3.42883186335772e-28,"5","UPP1"
6.40705715097674e-32,2.61216154141761,0.327,0.053,1.17281181148629e-27,"5","SLC2A14"
7.48013331287013e-32,3.18340597914926,0.273,0.033,1.36923840292088e-27,"5","GPR84"
1.62641503894932e-31,2.48940897748345,0.375,0.078,2.97715272879674e-27,"5","C3AR1"
4.26178743905698e-31,2.23014556369252,0.545,0.119,7.8012019071938e-27,"5","OAS1"
5.71480639195602e-31,2.27963266173149,0.324,0.083,1.04609531004755e-26,"5","USP32"
6.30995612440392e-31,2.01982107193863,0.489,0.13,1.15503746857214e-26,"5","ENSMMUG00000013256"
9.77667880589134e-30,2.05931196184893,0.392,0.134,1.78962105541841e-25,"5","JAK2"
2.60359022837919e-29,2.02834910072938,0.946,0.415,4.76587191304811e-25,"5","PLAC8"
6.85664579155637e-29,2.29264607163983,0.483,0.124,1.25510901214439e-24,"5","HCK"
1.57383980545019e-28,2.96807151685505,0.27,0.036,2.88091376387657e-24,"5","LPCAT2"
2.01412128987561e-28,2.01934005902039,0.491,0.164,3.6868490211173e-24,"5","IFI35"
1.83860915712569e-27,2.38213359458483,0.562,0.149,3.36557406211858e-23,"5","SAMSN1"
2.49169123150523e-27,2.20457965197006,0.438,0.149,4.56104079927032e-23,"5","RNF13"
4.82179460314516e-27,2.29259561012001,0.335,0.06,8.82629502105722e-23,"5","SIGLEC5"
9.16075263915201e-27,2.32226927273778,0.375,0.081,1.67687577059678e-22,"5","GADD45A"
1.69728108793398e-26,2.06185718569744,0.384,0.091,3.10687303146315e-22,"5","ENSMMUG00000037684"
2.77534435586458e-26,2.17547439495509,0.344,0.078,5.08026784341012e-22,"5","RGS18"
7.62723920975247e-26,2.31521248955146,0.298,0.082,1.39616613734519e-21,"5","GABARAPL1"
1.46428799455981e-25,2.00055612967941,0.594,0.21,2.68037917404173e-21,"5","CASP1"
2.24078361749793e-25,2.1921767184559,0.318,0.091,4.10175441182995e-21,"5","GPR65"
9.19517445815136e-25,2.9012611117346,0.253,0.033,1.68317668456461e-20,"5","FPR2"
1.85698030767216e-24,2.44872484924212,0.315,0.056,3.39920245319389e-20,"5","P2RY13"
3.06753350429085e-24,2.21116055630652,0.349,0.074,5.61512007960441e-20,"5","SIRPB2"
3.97038674969923e-24,2.11593644355972,0.636,0.16,7.26779294532444e-20,"5","RGS2"
9.51757346540048e-24,2.41501183258964,0.997,0.34,1.74219182284156e-19,"5","S100A9"
2.82876958220262e-23,2.29045585271581,0.264,0.063,5.1780627202219e-19,"5","NCF1"
3.15951939230347e-23,2.34227717740013,0.318,0.073,5.7835002476115e-19,"5","ARHGAP26"
4.12431223250328e-23,2.03070811035929,0.756,0.188,7.54955354159725e-19,"5","IDO1"
